DEPARTAMENTO_CIRCUNSCRICAO;SECCIONAL_CIRCUNSCRICAO;MUNICIPIO_CIRCUNSCRICAO;DP_CIRCUNSCRICAO ;HD;Nº DE VÍT HD;ID_DELEGACIA;MÊS ESTATISTICA;ANO ESTATISTICA;DATAHORA_REGISTRO_BO;NUM_BO;ANO_BO;MUNICIPIO_ELABORACAO;DP_ELABORACAO;SEC_ELABORACAO;DEP_ELABORACAO;DATA_FATO;HORA_FATO;DESC_TIPOLOCAL;LOGRADOURO;NUMERO_LOGRADOURO;LATITUDE;LONGITUDE;TIPO_PESSOA;SEXO_PESSOA;IDADE_PESSOA;DATA_NASCIMENTO_PESSOA;COR_PELE;PROFISSAO;NATUREZA_APURADA;2017;Sheet;false
DECAP;3ª SEC;São Paulo;091 DP - Ceagesp;null;1;10357;1;2017;14/01/2017;238;2017;S.PAULO;91º D.P. CEASA;DEL.SEC.3º OESTE;DECAP;14/01/2017;31/12/1899 05:19:00;Comércio e serviços;AVENIDA DOUTOR GASTAO VIDIGAL;1946;-2,35291E+16;-4,6739E+16;Vítima;Masculino;29;13/01/1988;Parda;FEIRANTE;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;3ª SEC;São Paulo;091 DP - Ceagesp;1;1;10357;1;2017;14/01/2017;238;2017;S.PAULO;91º D.P. CEASA;DEL.SEC.3º OESTE;DECAP;14/01/2017;31/12/1899 05:19:00;Comércio e serviços;AVENIDA DOUTOR GASTAO VIDIGAL;1946;-2,35291E+16;-4,6739E+16;Vítima;Masculino;32;07/11/1984;Parda;NULL;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;4ª SEC;São Paulo;009 DP - Carandiru;1;1;20120;1;2017;17/01/2017;558;2017;S.PAULO;20º D.P. AGUA FRIA;DEL.SEC.4º NORTE;DECAP;16/01/2017;31/12/1899 23:50:00;Entidade assistencial;AVENIDA ZAKI NARCHI;600;-2,35113E+16;-4,66214E+16;Vítima;Masculino;36;22/04/1980;Parda;DESEMPREGADO;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;4ª SEC;São Paulo;040 DP - Vila Santa Maria;1;1;20113;1;2017;21/01/2017;595;2017;S.PAULO;13º D.P. CASA VERDE;DEL.SEC.4º NORTE;DECAP;21/01/2017;31/12/1899 01:29:00;Via pública;RUA BERNARDO WRONA;10;-2,35098E+16;-4,66751E+16;Vítima;Masculino;NULL;NULL;Parda;NULL;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;4ª SEC;São Paulo;045 DP - Vila Brasilândia;1;1;10335;1;2017;01/01/2017;8;2017;S.PAULO;72º D.P. VILA PENTEADO;DEL.SEC.4º NORTE;DECAP;01/01/2017;31/12/1899 06:00:00;Via pública;RUA TABATINGA;322;-2,34637E+16;-4,66917E+16;Vítima;Masculino;30;28/11/1986;Branca;NULL;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;4ª SEC;São Paulo;045 DP - Vila Brasilândia;1;1;20145;1;2017;03/01/2017;15;2017;S.PAULO;45º D.P. V BRASILANDIA;DEL.SEC.4º NORTE;DECAP;03/01/2017;31/12/1899 15:20:00;Comércio e serviços;RUA JOAQUIM FERREIRA DA ROCHA;496;-2,34688E+16;-4,66893E+14;Vítima;Masculino;40;19/11/1976;Branca;COMERCIANTE;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;4ª SEC;São Paulo;045 DP - Vila Brasilândia;1;1;10335;1;2017;20/01/2017;502;2017;S.PAULO;72º D.P. VILA PENTEADO;DEL.SEC.4º NORTE;DECAP;19/01/2017;31/12/1899 23:11:00;Via pública;RUA NICIA COUTINHO PATRICIO;59;-2,34662E+16;-4,66824E+14;Vítima;Masculino;33;03/06/1983;Parda;PEDREIRO;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;4ª SEC;São Paulo;072 DP - Vila Penteado;1;1;10335;1;2017;03/01/2017;67;2017;S.PAULO;72º D.P. VILA PENTEADO;DEL.SEC.4º NORTE;DECAP;02/01/2017;31/12/1899 23:30:00;Via pública;PASSAGEM SALVADOR;142;-2,34589E+16;-4,66874E+16;Vítima;Masculino;19;30/08/1997;Parda;AJUDANTE;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;4ª SEC;São Paulo;073 DP - Jaçanã;1;1;10336;1;2017;14/01/2017;489;2017;S.PAULO;73º D.P. JACANA;DEL.SEC.4º NORTE;DECAP;14/01/2017;31/12/1899 08:00:00;Rodovia/Estrada;RODOVIA BR 381;79;-23408483813;-46580717264;Vítima;Masculino;20;15/03/1996;Parda;NULL;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;4ª SEC;São Paulo;074 DP - Jaraguá;1;1;10335;1;2017;01/01/2017;14;2017;S.PAULO;72º D.P. VILA PENTEADO;DEL.SEC.4º NORTE;DECAP;01/01/2017;31/12/1899 11:45:00;Via pública;ESTRADA DO CORREDOR;805;-2,34461E+16;-4,67281E+16;Vítima;Masculino;15;19/07/2001;Parda;NULL;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;4ª SEC;São Paulo;074 DP - Jaraguá;1;1;200100;1;2017;26/01/2017;71;2017;S.PAULO;DHPP DIV. HOMICIDIOS;DHPP - DEP. HOM. PROTECAO PESSOA;DHPP;25/01/2017;31/12/1899 21:17:00;Area não ocupada;RUA DA MINA;1;-2,34531E+16;-46706100694;Vítima;Feminino;25;23/12/1991;Parda;NULL;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;4ª SEC;São Paulo;090 DP - Parque Novo Mundo;1;1;10336;1;2017;12/01/2017;415;2017;S.PAULO;73º D.P. JACANA;DEL.SEC.4º NORTE;DECAP;11/01/2017;31/12/1899 23:44:00;Via pública;RUA MARABU;236;-2,34938E+14;-4,65739E+16;Vítima;Masculino;38;19/09/1978;Branca;SERVENTE;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;4ª SEC;São Paulo;090 DP - Parque Novo Mundo;1;1;10336;1;2017;21/01/2017;712;2017;S.PAULO;73º D.P. JACANA;DEL.SEC.4º NORTE;DECAP;21/01/2017;31/12/1899 07:26:00;Via pública;AVENIDA EDUCADOR PAULO FREIRE;1555;-2,35091E+16;-4,65591E+16;Vítima;Masculino;NULL;NULL;Parda;NULL;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;5ª SEC;São Paulo;010 DP - Penha de França;1;1;20221;1;2017;30/01/2017;413;2017;S.PAULO;21º D.P. VILA MATILDE;DEL.SEC.5º LESTE;DECAP;30/01/2017;31/12/1899 16:00:00;Favela;DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ;null;null;null;Vítima;Masculino;30;12/05/1986;Parda;NULL;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;5ª SEC;São Paulo;010 DP - Penha de França;1;1;20210;1;2017;18/01/2017;469;2017;S.PAULO;10º D.P. PENHA DE FRANCA;DEL.SEC.5º LESTE;DECAP;18/01/2017;31/12/1899 19:00:00;Via pública;RODOVIA SP 070;18000;-2,35204E+16;-4,65565E+16;Vítima;Feminino;19;08/06/1997;Parda;ATENDENTE DE LANCHANOTE;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;5ª SEC;São Paulo;057 DP - Parque da Moóca;1;1;10310;1;2017;07/01/2017;114;2017;S.PAULO;56º D.P. VILA ALPINA;DEL.SEC.5º LESTE;DECAP;06/01/2017;31/12/1899 22:56:00;Via pública;RUA GUAPEVA;242;-2,3553E+16;-4,65774E+14;Vítima;Masculino;50;NULL;Branca;NULL;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;6ª SEC;São Paulo;011 DP - Santo Amaro;1;1;10211;1;2017;28/01/2017;1036;2017;S.PAULO;11º D.P. SANTO AMARO;DEL.SEC.6º SANTO AMARO;DECAP;28/01/2017;31/12/1899 05:00:00;Via pública;RUA ADA NEGRI;600;-2,36483E+16;-4,67153E+16;Vítima;Masculino;24;27/04/1992;Branca;NULL;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;6ª SEC;São Paulo;025 DP - Parelheiros;1;1;200100;1;2017;15/01/2017;36;2017;S.PAULO;DHPP DIV. HOMICIDIOS;DHPP - DEP. HOM. PROTECAO PESSOA;DHPP;14/01/2017;31/12/1899 21:10:00;Via pública;TRAVESSA CHUPIM;12;-2,37793E+16;-4,66974E+16;Vítima;Masculino;NULL;NULL;Branca;NULL;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;6ª SEC;São Paulo;025 DP - Parelheiros;1;1;10225;1;2017;10/01/2017;147;2017;S.PAULO;25º D.P. PARELHEIROS;DEL.SEC.6º SANTO AMARO;DECAP;10/01/2017;31/12/1899 17:45:00;Via pública;RUA ESTALIDES;2000;-2,38278E+16;-4,6745E+16;Vítima;Indefinido;NULL;NULL;Parda;NULL;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;6ª SEC;São Paulo;025 DP - Parelheiros;1;1;10374;1;2017;14/01/2017;442;2017;S.PAULO;101º D.P. JDIM IMBUIAS;DEL.SEC.6º SANTO AMARO;DECAP;14/01/2017;31/12/1899 17:00:00;Via pública;RUA ANDRE PERNET;33;-2,38214E+14;-4,67278E+16;Vítima;Masculino;21;28/05/1995;Parda;PINTOR(A);HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;6ª SEC;São Paulo;047 DP - Capão Redondo;1;1;10247;1;2017;02/01/2017;27;2017;S.PAULO;47º D.P. CAPAO REDONDO;DEL.SEC.6º SANTO AMARO;DECAP;01/01/2017;31/12/1899 22:00:00;Via pública;RUA ACOMAYO;40;-2,36816E+16;-4,67924E+16;Vítima;Masculino;23;11/01/1993;Branca;NULL;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;6ª SEC;São Paulo;047 DP - Capão Redondo;1;1;10247;1;2017;16/01/2017;571;2017;S.PAULO;47º D.P. CAPAO REDONDO;DEL.SEC.6º SANTO AMARO;DECAP;15/01/2017;31/12/1899 22:58:00;Via pública;RUA MARIA GOMES DA SILVA;100;-2,36561E+14;-4,67774E+16;Vítima;Masculino;25;10/02/1991;Parda;ENTREGADOR DE PIZZA;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;6ª SEC;São Paulo;085 DP - Jardim Mirna;1;1;10349;1;2017;02/01/2017;12;2017;S.PAULO;85º D.P. JARDIM MIRNA;DEL.SEC.6º SANTO AMARO;DECAP;02/01/2017;31/12/1899 12:08:00;Area não ocupada;RUA DOMINGOS DA COSTA FIGUEIRA;23;-2,37699E+16;-4,66977E+16;Vítima;Indefinido;NULL;NULL;Branca;NULL;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;6ª SEC;São Paulo;085 DP - Jardim Mirna;1;1;10374;1;2017;07/01/2017;218;2017;S.PAULO;101º D.P. JDIM IMBUIAS;DEL.SEC.6º SANTO AMARO;DECAP;07/01/2017;31/12/1899 16:00:00;Comércio e serviços;RUA TERESA FARIAS ISASSI;25;-2,37572E+16;-4,66773E+16;Vítima;Masculino;35;15/09/1981;Parda;NULL;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;6ª SEC;São Paulo;085 DP - Jardim Mirna;1;1;10349;1;2017;31/01/2017;415;2017;S.PAULO;85º D.P. JARDIM MIRNA;DEL.SEC.6º SANTO AMARO;DECAP;31/01/2017;31/12/1899 12:40:00;Lazer e recreação;RUA IRMA MARIA LOURENCA;250;-2,37609E+16;-4,6667E+16;Vítima;Indefinido;NULL;NULL;Outros;NULL;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;6ª SEC;São Paulo;085 DP - Jardim Mirna;null;1;10349;1;2017;31/01/2017;415;2017;S.PAULO;85º D.P. JARDIM MIRNA;DEL.SEC.6º SANTO AMARO;DECAP;31/01/2017;31/12/1899 12:40:00;Lazer e recreação;RUA IRMA MARIA LOURENCA;250;-2,37609E+16;-4,6667E+16;Vítima;Indefinido;NULL;NULL;Outros;NULL;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;6ª SEC;São Paulo;085 DP - Jardim Mirna;1;1;10374;1;2017;29/01/2017;861;2017;S.PAULO;101º D.P. JDIM IMBUIAS;DEL.SEC.6º SANTO AMARO;DECAP;29/01/2017;31/12/1899 08:00:00;Favela;DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ;null;null;null;Vítima;Masculino;38;12/11/1978;Parda;NULL;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;6ª SEC;São Paulo;092 DP - Parque Santo Antônio;1;1;10247;1;2017;05/01/2017;147;2017;S.PAULO;47º D.P. CAPAO REDONDO;DEL.SEC.6º SANTO AMARO;DECAP;05/01/2017;31/12/1899 01:28:00;Via pública;RUA JOAO GASPAR;627;-2,36522E+16;-4,6736E+16;Vítima;Masculino;22;12/10/1994;Branca;NULL;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;6ª SEC;São Paulo;092 DP - Parque Santo Antônio;1;1;10366;1;2017;13/01/2017;166;2017;S.PAULO;92º D.P. PQ. SANTO ANTONIO;DEL.SEC.6º SANTO AMARO;DECAP;13/01/2017;EM HORA INCERTA;Via pública;RUA CRISTOVAO MORALES;20;-23657234311;-4,67441E+16;Vítima;Feminino;NULL;NULL;Parda;NULL;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;6ª SEC;São Paulo;092 DP - Parque Santo Antônio;1;1;10247;1;2017;09/01/2017;298;2017;S.PAULO;47º D.P. CAPAO REDONDO;DEL.SEC.6º SANTO AMARO;DECAP;08/01/2017;31/12/1899 19:00:00;Residência;DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ;null;null;null;Vítima;Masculino;20;24/11/1996;Parda;NULL;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;6ª SEC;São Paulo;098 DP - Jardim Míriam;1;1;10371;1;2017;12/01/2017;288;2017;S.PAULO;98º D.P. JARDIM MIRIAM;DEL.SEC.6º SANTO AMARO;DECAP;11/01/2017;31/12/1899 23:52:00;Via pública;RUA ITALO CAMPANINI;25;NULL;NULL;Vítima;Feminino;23;02/02/1993;Branca;NULL;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;6ª SEC;São Paulo;098 DP - Jardim Míriam;1;1;10371;1;2017;22/01/2017;579;2017;S.PAULO;98º D.P. JARDIM MIRIAM;DEL.SEC.6º SANTO AMARO;DECAP;22/01/2017;31/12/1899 09:10:00;Residência;DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ;null;null;null;Vítima;Masculino;26;07/08/1990;Parda;CARPINTEIRO(A);HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;6ª SEC;São Paulo;100 DP - Jardim Herculano;1;1;10247;1;2017;06/01/2017;179;2017;S.PAULO;47º D.P. CAPAO REDONDO;DEL.SEC.6º SANTO AMARO;DECAP;06/01/2017;31/12/1899 00:10:00;Via pública;RUA JUNDIACANGA;21;-2,37278E+14;-4,67677E+14;Vítima;Masculino;NULL;NULL;Preta;NULL;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;6ª SEC;São Paulo;100 DP - Jardim Herculano;1;1;10247;1;2017;11/01/2017;379;2017;S.PAULO;47º D.P. CAPAO REDONDO;DEL.SEC.6º SANTO AMARO;DECAP;11/01/2017;31/12/1899 05:35:00;Via pública;RUA IGNACIO LIMAS;8;-2,36916E+16;-4,67565E+16;Vítima;Masculino;33;24/01/1983;Parda;LAVADOR;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;6ª SEC;São Paulo;100 DP - Jardim Herculano;1;1;10247;1;2017;23/01/2017;842;2017;S.PAULO;47º D.P. CAPAO REDONDO;DEL.SEC.6º SANTO AMARO;DECAP;23/01/2017;31/12/1899 04:00:00;Via pública;RUA MARIA DA CONCEICAO SIMOES;79;-2,37224E+16;-4,67502E+16;Vítima;Masculino;32;09/06/1984;Parda;NULL;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;6ª SEC;São Paulo;100 DP - Jardim Herculano;null;1;10247;1;2017;23/01/2017;842;2017;S.PAULO;47º D.P. CAPAO REDONDO;DEL.SEC.6º SANTO AMARO;DECAP;23/01/2017;31/12/1899 04:00:00;Via pública;RUA MARIA DA CONCEICAO SIMOES;79;-2,37224E+16;-4,67502E+16;Vítima;Feminino;39;23/07/1977;Branca;NULL;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;7ª SEC;São Paulo;032 DP - Itaquera;1;1;10326;1;2017;21/01/2017;551;2017;S.PAULO;63º D.P. VILA JACUI;DEL.SEC.7º ITAQUERA;DECAP;21/01/2017;31/12/1899 07:15:00;Via pública;RUA ALDO GIANNINI;262;-2,35192E+14;-4,64286E+16;Vítima;Feminino;29;01/04/1987;Branca;ENFERMEIRO(A);HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;7ª SEC;São Paulo;059 DP - Jardim Noemia;1;1;20250;1;2017;09/01/2017;283;2017;S.PAULO;50º D.P. ITAIM PAULISTA;DEL.SEC.7º ITAQUERA;DECAP;09/01/2017;31/12/1899 21:07:00;Via pública;RUA CLEMENTE MARTINS DE MATOS;94;-2,34864E+16;-4,63945E+16;Vítima;Masculino;30;16/09/1986;Preta;DESEMPREGADO;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;7ª SEC;São Paulo;062 DP - Ermelino Matarazzo;1;1;20224;1;2017;02/01/2017;28;2017;S.PAULO;24º D.P. PONTE RASA;DEL.SEC.7º ITAQUERA;DECAP;01/01/2017;31/12/1899 22:40:00;Residência;DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ;null;null;null;Vítima;Masculino;43;10/08/1973;Parda;PEDREIRO;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;7ª SEC;São Paulo;063 DP - Vila Jacuí;1;1;10326;1;2017;01/01/2017;26;2017;S.PAULO;63º D.P. VILA JACUI;DEL.SEC.7º ITAQUERA;DECAP;01/01/2017;31/12/1899 19:43:00;Via pública;RUA SAPUPIRA esquina com RUA PALMEIRA DE LEQUE;NULL;NULL;NULL;Vítima;Masculino;52;26/06/1964;Branca;AUTONOMO;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;7ª SEC;São Paulo;064 DP - Cidade A E Carvalho;1;1;20224;1;2017;12/01/2017;336;2017;S.PAULO;24º D.P. PONTE RASA;DEL.SEC.7º ITAQUERA;DECAP;11/01/2017;31/12/1899 22:30:00;Via pública;RUA MAPIXI;21;-2,35154E+16;-4,64516E+16;Vítima;Feminino;31;19/06/1985;Branca;VIGILANTE;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;8ª SEC;São Paulo;054 DP - Cidade Tiradentes;1;1;20249;1;2017;01/01/2017;2;2017;S.PAULO;49º D.P. SAO MATEUS;DEL.SEC.8º SAO MATEUS;DECAP;01/01/2017;31/12/1899 00:30:00;Saúde;DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ;null;null;null;Vítima;Masculino;16;21/05/2000;Parda;NULL;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;8ª SEC;São Paulo;054 DP - Cidade Tiradentes;1;1;20249;1;2017;24/01/2017;859;2017;S.PAULO;49º D.P. SAO MATEUS;DEL.SEC.8º SAO MATEUS;DECAP;23/01/2017;31/12/1899 21:01:00;Via pública;VIELA CAMINHO SANTIAGO;0;-2,35754E+16;-4,64117E+16;Vítima;Masculino;56;20/03/1960;Branca;NAO INFORMADA;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;8ª SEC;São Paulo;066 DP - Vale do Aricanduva;1;1;10353;1;2017;12/01/2017;278;2017;S.PAULO;53º D.P. PARQUE DO CARMO;DEL.SEC.8º SAO MATEUS;DECAP;11/01/2017;31/12/1899 23:49:00;Via pública;AVENIDA DOS LATINOS;27;-2,35733E+16;-4,64933E+16;Vítima;Masculino;30;26/11/1986;Branca;NULL;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;8ª SEC;São Paulo;066 DP - Vale do Aricanduva;1;1;10353;1;2017;29/01/2017;725;2017;S.PAULO;53º D.P. PARQUE DO CARMO;DEL.SEC.8º SAO MATEUS;DECAP;29/01/2017;31/12/1899 00:58:00;Residência;DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ;null;null;null;Vítima;Masculino;44;01/11/1972;Branca;PEDREIRO;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;8ª SEC;São Paulo;069 DP - Teotônio Vilela;1;1;10362;1;2017;14/01/2017;456;2017;S.PAULO;69º D.P. TEOTONIO VILELA;DEL.SEC.8º SAO MATEUS;DECAP;14/01/2017;31/12/1899 15:15:00;Residência;DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ;null;null;null;Vítima;Masculino;46;04/05/1970;Parda;NULL;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;8ª SEC;São Paulo;069 DP - Teotônio Vilela;1;1;10362;1;2017;26/01/2017;823;2017;S.PAULO;69º D.P. TEOTONIO VILELA;DEL.SEC.8º SAO MATEUS;DECAP;25/01/2017;31/12/1899 23:30:00;Via pública;RUA CARLO CLAUSETTI;335;-2,3604E+14;-4,65006E+16;Vítima;Masculino;15;19/03/2001;Parda;ESTUDANTE;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;8ª SEC;São Paulo;070 DP - Vila Ema;1;1;10362;1;2017;24/01/2017;755;2017;S.PAULO;69º D.P. TEOTONIO VILELA;DEL.SEC.8º SAO MATEUS;DECAP;24/01/2017;31/12/1899 05:00:00;Via pública;RUA CACHOEIRA NOVA BANDEIRA;10;-2,36123E+16;-4,65362E+16;Vítima;Masculino;36;03/09/1980;Parda;NULL;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DEINTER 1;SEC Cruzeiro;Cruzeiro;003 DP - Cruzeiro;1;1;130103;1;2017;27/01/2017;75;2017;CRUZEIRO;DEL.SEC.CRUZEIRO PLANTÃO;DEL.SEC.CRUZEIRO;DEINTER 1 - SAO JOSE DOS CAMPOS;26/01/2017;31/12/1899 23:15:00;Residência;DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ;null;null;null;Vítima;Masculino;33;12/12/1983;Branca;APOSENTADO(A);HOMICÍDIO DOLOSO;2017;Sheet;FALSE
